,Sentence
13732,so you cancelled lighted my flight again _questionmark_ are you paying for my hotel _questionmark_ _exclamation_  
13733,just added one ty 
13734,now a delay to the rebooked flight _questionmark_ _exclamation_  
13735,when i called i was told my bag had made it to pal but still has not been delivered or any call from the delivery service 
13736,terrific many thanks looking forward to being back on ua tomorrow had a great flight up to vancouver 
13737,thank you for help and quick response 
13738,thanks for your help _exclamation_  
13739,everyone is sorry don i have what i need for meeting tomorrow  chara isn i nearly enough to highlight your shortcomings 
13740,you are one great airline :red_heart: 
13741,thanks _exclamation_ hope i don i look like a complainer i have written of good experiences i you in the past and am making do in terminal  : 
13742,why thank you _exclamation_ _exclamation_ layaway _exclamation_ _exclamation_  
13743,please please american call me so i can rebook ticket 
13744,i have a weekend of dealing with your company that would say otherwise 
13745,service for baggage at jak is incomprehensible no employee knows where our luggage is from flight  lax to ny its an he wait now 
13746,should contact me and the others on my flight who can not get their website to work none of our info is valid _exclamation_  
13747,thank you 
13748,you ask a lot of customers who you routinely screw over you know that right _questionmark_  
13749,hoping there is a spare a i for  tomorrow _exclamation_ have a ship to board _exclamation_ the sched aircraft is delayed from previous fits 
13750,i asked if that was sop and they said is now i but yet the other  flights nothing is this a policy or not _questionmark_  
13751,it is not only my bag it is the complete lack of respect when i called i was hung up on and it is my daughters bag 
13752,download jerko the american app for air travelers 
13753,this is ridiculous you delayed my husband i flights amp made him miss his connection told him to leave his bags sent him   
13754,wouldn i it be awesome for my first time flying to be 
13755,always letting me down :oncoming_fist: 
13756,are you not even going to acknowledge that you bumped me from a flight not because of weather i am in arizona 
13757,finally about to take off _exclamation_ thanks for the customer service by the go reps can cal any idea what caused the system failure _questionmark_  
13758,i respect the stress of a merger but one rep to reschedule replace  pal who are already late flight _questionmark_  
13759,any updates on felt  here at the gate and they have no expected time of departure 
13760,is it possible to add travel arranged by my employer to my upcoming travel _questionmark_ i can retrieve a reservation but that is it 
13761,a employees were rude and unwilling to help   miles is a rotten cherry on top of a dog shit sunday 
13762,would like to talk to someone please follow 
13763,thanks for taking such good care of my luggage 
13764,pleasantly surprised to find ana has made major upgrades on their transpacific route in flights planes and service 
13765,this is unbelievable thank you so much _exclamation_  
13766,thanks for telling me my flight got cancelled lighted when it wasn i now i have a missing luggage because of you thanks fam _exclamation_  
13767,death of a dear friend has me heart broken but has me heated _exclamation_  
13768,need to cancelled flight a few more can you please check do 
13769,we ve been waiting  min for a gate at so yet so many of them are free your excellence in operational efficiency is showing 
13770,i keep getting hung up on please respond so i can book a ticket with you i won i be able to buy one unless i speak to someone _exclamation_  
13771,how do i redeem a travel voucher for a flight if i can not reach a travel agent by phone _questionmark_ my hold expires in  hours 
13772,my mom tried also that wasn i the reason they wouldn i change it y all literally said that you i rather have an empty seat 
13773,know that i could use that for a flight into canada by they time they figured it out it was too late flight to check our bags 
13774,is rising like the sun at dna this morning members have the best view 
13775,this is the year for van gogh fans to visit europe 
13776,you  together are the best part of flying _exclamation_  
13777,i got email update but still no eta more communication details apology info on compensation rights would go a long way 
13778,i just sent to you 
13779,already checked in so the page expired :x 
13780,i want an icecream baby 
13781,been on hold  hours for a cancelled lighted flight i understand the delay i don i understand you auto relight booking problems me on tuesday help _exclamation_  
13782,: sure show a video of your outsourced favorite tico who has a knack for doing substandard maintenance work on aircraft 
13783,i was abused threatened and forced to travel in a lower cabin last seat in yesterday i flight from houston to sao paulo 
13784,and is there a delay on our connection to pins _questionmark_  
13785,trying to fly out of nashville tomorrow how is it looking _questionmark_  
13786,passengers seated crew ready  from ord hope he isn i at the bar 
13787,i luv y all but please stop overheating your planes second flight in a row that feels like a sauna 
13788,shes been rescheduled for today but with the frigid cold being a possible reason for maintenance it could be the same issue day 
13789,takes my money at once but then requires  to  days to process a refund _questionmark_ why does your auto attendant hang up _questionmark_  
13790,if you re going to charge for wifi do us all a solid and make sure it doesn i take the length of the flight to open a page 
13791,hold time to book award travel from gold status:  hours and counting _exclamation_ _exclamation_ _exclamation_ _exclamation_  days of calling 
13792,sorry doesn i help it is midnight put how in the hell am i still on hold after  minutes on customer service line _questionmark_  
13793,i am not sure why i expected anyone to be here 
13794,stop pretending you care about the welfare of my daughter united airlines had the opportunity to help i failed united airlines 
13795,my poms and pods are no longer showing up correctly in my mileageplus act how can i get this fixed _questionmark_  
13796,also they said they couldn i even book the flight they were having to put me on hold amp have someone else do it _questionmark_  
13797,just realized i had the wrong departure date thanks for making changes easy _exclamation_  
13798,line of  people to rebook at mia now virtual hold on rebook line just hangs up during call back 
13799,that is the height of rudeness and without question the worst customer service i have ever experienced 
13800,terminal at mia should have food open before am esp when there are flights at am two hours early like recommended can not eat 
13801,bad coffee but the juice is ok united terminal so airport 
13802,sent 
13803,it was fabulous _exclamation_ very pleased 
13804,are there any current promotions codes for nashville denver _questionmark_ thank you _exclamation_  
13805,i like the customer service but a  min delay just for connecting passengers seems too long  
13806,no self help way to put in tsa pre check number for existing reservation very annoying  is not reachable 
13807,despite shaky connections looks like i will get home tonight great job was touch and go for a while 
13808,been on hold with reservations for over  min already _exclamation_  
13809,on delayed flight from phil to set and looks like we all miss the car ferry to at john where our lodging is help with housing _questionmark_  
13810,thanks bae 
13811,no response to do or email yet customer service _questionmark_  
13812,i would go for ord time to jamaica to volunteer i at risk youth 
13813,i hope it takes you  hours to get home when it should take  my flight was cancelled lighted because they couldn i staff the plane 
13814,do miles earned with explorer card count toward lifetime miles _questionmark_  
13815,any tix to spare _questionmark_ i wanna go see the show on friday in la with my friend 
13816,flight today cancelled lighted in pal dozens of other flights still going on hold for this i need to get to my job interview _exclamation_ _exclamation_ _exclamation_  
13817, characters does not cover my reasons i am afraid 
13818,thank you _exclamation_ you will see me : 
13819, hour delay plus a jetway that won i move this biz traveler is never flying u again _exclamation_  
13820,that is absolutely false stat you have a comedy of errors inch no catering etc 
13821,est leg of my flight  ny tomorrow has been cancelled lighted if you make me hold for this i may miss my only chance back home _exclamation_  
13822,friends been sitting in houston since am flight cancelled lighted still don i have any answers  
13823,i love you guys _exclamation_ _exclamation_ _exclamation_  
13824,how dirty does the damn plane have to be to take an hour to get the plane cleaned _questionmark_ refund me my miles:pouting_face: 
13825,flight home cancelled lighted today any way we can get another flight to ny from texas _questionmark_  hour wait for a call back from airline 
13826,fine would you have them call me _questionmark_ i left a message was told it would be  hours for a call haven i heard anything yet 
13827,priorities should have been made considering a pending snow storm why delay a flight for an hour amp a half _questionmark_ i i like an answer 
13828,flight cancelled lighted can not go home until tomorrow i could use dinner and a play it is my first time in ny 
13829,no i watched these bags be abandoned at depart gate watched for it  mins until owner returned  mins after i reported 
13830,your crew on  is doing a great job of keeping everyone informed during the delays 
13831,why doesn i your best fare finder work _questionmark_  
13832,it is not about the delay it is about the communication 
13833,smiling rep told us hotel shuttle comes like every  minutes breezy  min late flight we are taking a cab you going to reimburse _questionmark_  
13834,all good _exclamation_ i am catching the 11:10p flight tonight thanks for the response 
13835,trying to fly from bos to jak flight delayed traveling with kids book a hotel or are we getting out tonight _questionmark_  
13836,resolved and im sick and tired of waiting on you i want my refund and i i like to speak to someone about it 
13837,why do i pay more for coach plus to be told preboarding that all overhead bins will be full for me 
13838,pleasantly surprised with quality of service and flight flew lga cle den friendly crew love the concept of 
13839,overloads small plane with extra baggage and then has to take them off poor execution  minute delay 
13840,once or twice a year hard to get vacation time from work sometimes but love flying with you guys _exclamation_  
13841,has the best pilots ever thank you guys for the great trip 
13842,when does today i scavenger hunt start _questionmark_ i am trying to help my little brother win _exclamation_  
13843,flight number 
13844,but nope _exclamation_ apparently this is the way you guys do business _exclamation_ i guess i am flying southwest and her blue from now on 
13845,i have been calling you for  straight days and no one picks up sure there are storms but there are also holler _exclamation_  
13846,ty for your consideration _exclamation_  
13847,have you just given up _questionmark_  
13848,nothing but praise for you helping our lady make her flight to cos tonight _exclamation_  
13849,if you get my bag from e gate to i gate at the charlotte airport before my  am flight late flight cause of yall i'll ride us for life 
13850,i have requested upgrade for ear bom flight end of may miles copy when will i know if i am upgraded _questionmark_  
13851,thanks weather is understandable but when every single domestic flight is delayed because of inbound int i flights it is crazy 
13852,extremely upset that your baggage handlers decide to go in my luggage and take my belongings 
13853,doesn i work on my flight just fyi 
13854,we just landed in vegas but not allowed to leave the plane just yet thanks for making me miss my flight at  am 
13855,i have filed multiple complaints i prefer to continue warning the public instead of wasting more time with this inhumane corp 
13856,thank you _exclamation_ i will be calling you _exclamation_  
13857,well we are on our way now but more than half my to channels are just static :pensive_face: 
13858,arriving  minutes early is nice but not if equipment isn i ready waiting  minutes for luggage so far time gains wiped out 
13859,thank you _exclamation_ i like the quick response on twitter _exclamation_  
13860,i have been trying to get through to someone about my cancelled lighted flight tomorrow for over  hours 
13861,me after arriving at 8:41am for a flight scheduled to depart at 8:57am doors closed no agents 
13862,we had to sit in the airport a long periolodicly time the planes were nasty 
13863,i received a brochure in the mail touting all the benefits of the advantage card with usa now merged baggage included 
13864,yall tried it with this little bitty plane flying out of boston _exclamation_ _exclamation_ i hate little planes _exclamation_ _exclamation_ _exclamation_  
13865,file loc:tjycqh bag at airport since last nite not scheduled to get pu unt aft  _questionmark_ why _questionmark_ u sold i ashamed i am disgusted i u 
13866,pres ceo gary kelly at addressing  of his wi based employees 
13867,felt   his late flight baggage  more he now i see they delivered my suitcase wet inside amp out 
13868,already flight booking problems next week i trip on thanks for making the choice so easy 
13869,hi do you know why  is already delayed until 9:35pm tonight _questionmark_ thanks 
13870,:backhand_index_pointing_right: :door:rt our fleet is on fleek 
13871,let us know if we can help 
13872,what i good with a miami terminal _questionmark_  
13873, hours delayed now in hour increments _questionmark_ really _questionmark_ amp as mosaic i still have to pay  to use lounge during this waste of a sunday _questionmark_  
13874,thanks might want to fix this line: our customer care team is currently responding to most inquiries within   business days 
13875,refund 
13876,decided to be a good sport and give you guys another shot flight delayed again 
13877,what is the reason for the delay of the departure of ex  from jak this afternoon _questionmark_  
13878,do you promise to not unfollow me _questionmark_ :winking_face: 
13879,is utterly unreliable _exclamation_ they did not schedule a pilot for their  flight out of seattle flights are delayed 
13880,however is completely under your controlthe price was and still is displayed on 
13881,i need to speak with a live person i have had it with the recordings i was told on sat that we i have our luggage by best 
13882,how about some free drinks on the flight back for the free promo _questionmark_  
13883,any option for luggage assistance on the ground at hen _questionmark_ flight  delayed  hours amp we will have  sleeping kids when we land 
13884,any info for cancelled lighted flight  tomorrow morning out of dew _questionmark_ can not get calls through to speak with anyone 
13885,from a service rep but that hasn i happened yet i am honestly fed up and sick of this no notice when my flight got cancelled lighted 
13886,i want to enter the family pooling contest it says by   on the website can i please enter still _exclamation_  
13887,on approach to mex 
13888,why don i you tweet canned impersonal responses as though this is the only impatient customer you ve got 
13889,not moving we are in the tarmac delayed for some unknown reason i will keep you posted 
13890,stuck in miami and one of the worst customer experiences i have ever had will be sure to let everyone know about my time i a 
13891,problem with flight in gainesville us airways  to cut will miss connecting flight  to iad when can i get another flight 
13892,beats eps views takes on va luv investor i business daily 
13893,i did thank you 
13894,nope not yet 
13895,:hundred_points: :hundred_points: :hundred_points: it our fleet is on fleek 
13896,not a good day to fly u two delayed flights still on plane at ear waiting over   hours for gate get to gate no gate agent 
13897,despite mechanical issues and many delays followed by a cancelled flightlation still getting to vegas thanks to great gate agents _exclamation_  
13898,there is a full flight of customers sitting on the plane waiting for baggage to be loaded on a  in dew why _questionmark_  hour delay 
13899,this is crazy haven i spoken to a human yet there has to be a better way 
13900,trying to get a customer service agent just landed in so can not fly with  layovers with  kids _exclamation_ _exclamation_  
13901,flight  pox it ord lead fa bill is the most professional fa i have seen in  years of flying usain i have no ab cards : 
13902,trying to change my reservation been on hold for  minutes and can not do it online was directed to call help _questionmark_  
13903,we are delayed until he arrives 
13904,all of the nicest people in the world work at admiral i clubs gladys in san juan es mi amiga 
13905,your checkin system is 
13906,more concerned that you close a club i paid alot for at  last flight 11:15p the construction going on is very inconvenient 
13907,is late flight again everyone braved the weather and  passengers are waiting for a flight crew really _exclamation_  
13908,your website flight booking problems experience is an obnoxious upsell laden disaster for anyone with half a brain 
13909, hour delay shortly _questionmark_ @southwestair: brendan we are so sorry to keep you waiting we all have you in the air shortly _exclamation_ rse 
13910,not your fault social media awesome people i know everyone is working hard to get us in our way 
13911,who did this _questionmark_ _exclamation_ _questionmark_ _exclamation_ @jetblue: our fleet is on fleek 
13912,ceo weighs profits flyers registration 
13913,no gate agent after  minutes to let us off the plane _questionmark_ wow grounds crew is here hope you re ready to cover my delay 
13914,he overflowed over the armrest and under with legs sprawled you should refund me i had no choice 
13915,look at this beauty :winking_face: do  united airlines :winking_face: hope you like this beauty :winking_face: 
13916,flight cancelled lighted out of wi to fbi can not get out until monday what are the chances the seats open up for a flight on   _questionmark_  
13917,i will never fly us airways again 
13918,i am on flight  from dia to ontario tomorrow morning no access to the airport via taxi or shuttle what should i do _questionmark_  
13919,thanks _exclamation_  
13920,us airways don i care for customers worst experience today with us airways myself wife and toddler 
13921,thanks but not so much the missing bag as the nonexistent staff at this apparent remote outpost busy airport for city of am 
13922,am flight to mo caned amp reach 1:30 if we opt for  am depart tom will us air allow ing return day from sat to sun i o penalty _questionmark_  
13923,would be less annoying if road conditions weren i getting worse with every min u keep passengers captive for no good reason 
13924,i hope so too : 
13925,i recently moved and got a new license and when i booked my flight months ago i used my old license do i need to change that _questionmark_  
13926,please give tara i a pat on the back and praise she was very very helpful she is at pal member lounge 
13927,my chariot tonight from this angle it looks like a  no _questionmark_  
13928,the least you could do is make up for what you have caused you are ruining people i memories _exclamation_ you should be ashamed _exclamation_  
13929,what a nightmare _exclamation_ _exclamation_ both sides of my flights are a disaster _exclamation_ at houston getting attitude cuz i was sent to ticket counter 
13930,social media takes flight with fly what brand lesson can we learn _questionmark_  
13931,what does a woman got to do to get a chance of a lifetime _questionmark_ :confounded_face: 
13932,follow me back so i can do you guys 
13933,beautiful day in seattle _exclamation_  
13934,absolutely worse cust sec ever experienced in  yrs of flying supers at ah extremely rude 
13935,i was spoken  like i am an idiot and that is not ok _exclamation_ _exclamation_ i don i need to deal i that esp after the travel experience i have had 
13936,flight  from  was cancelled lighted yesterday amp i was on hold i cust service from   est  hours no answer 
13937,hey any chance you have an update on flight  hartford to i i 
13938,u i horrible went online to cancelled flight flight no button that called is amp wait time  mins amp put in my  called amp it hungupnohelp 
13939,cancelled lighted a flight cause the crew needed sleep but it is totally okay to wake me up at am just to let me know it is cancelled lighted again 
13940,also your phone customer service is almost useless 
13941,its not that i wasn i offered perks by i asked and was told no 
13942,right can you use a shuttle ticket from lga to bos for any shuttle flight _questionmark_ probably gonna miss the up 
13943,what i the point of asking for details about a when you book if your flight crew doesn i read them _questionmark_ continued 
13944,airlines is changing program march  
13945,lol at your estimated departure time plane hasn i even started boarding yet you can not even get your delays right 
13946,thanks which day of the week is the direct _questionmark_ the flights i saw went thru jak :sun: 
13947,finally called me back but hasn i spoken to me like the worst prank call ever _exclamation_ _exclamation_  
13948,so when was i supposed to call the internet desk _questionmark_ especially since my reservation told me to directly call the main   number _questionmark_  
13949,pathetic answer just found out my bag has been sitting at lga for  hours and no call from you to lik or delivery of bag bad 
13950,it is vegas baby who doesn i have a good time in vegas lol 
13951,i believe it was cancelled lighted yesterday i guess goes back to no notification from united about cancelled flightlation 
13952,i paid for my seat i expect to be able to use my full seat 
13953,hey that is a sexy tattoo you got there on your left engine 
13954,any word on accommodations for the passengers on us  when they arrive in charlotte _questionmark_ lot of tired passengers here 
13955,atlantic ploughs a lone furrow in the 
13956,apology accepted _exclamation_  
13957,pleasantly surprised to be boarding my flight on time this morning at good job _exclamation_  
13958,doesn i even have gluten free peanuts why me _questionmark_  
13959,you guys are horrible 
13960,fail you cancelled lighted our flight from get and then used our reserve home to ah from sea for relight booking problems i out our permission _exclamation_ _exclamation_  
13961,do the locator code thanks 
13962,read my bio see who i work with i have never encountered this with your airline before disappointed is an understatement 
13963,if you mean by posted no usain emil to direct anyone  not accepting calls no contact from usain re: rebook 
13964,flight us  from to passing over at   it this morning 
13965,okay thanks for your help it _exclamation_ i appreciate your time _exclamation_  
13966,because your gate attendant let someone board whose boarding pass kept reading invalid this messed up the passenger log 
13967,no they offered the flight   i paid then they changed it this is the and time you have done this to me ruins cruise plans 
13968,why do i still not have my bags _questionmark_ they arrived amp website says they re still at the airport    hours late flight _questionmark_ _exclamation_ _exclamation_  
13969,i was not allowed to drop my bag off for my flight that i was running min late flight for turns out it left over an hour late flight 
13970,thanks for a cancelled lighted flight then a delayed flight and not telling us more missed work more on hotel 
13971,we ve been sitting on this plane for almost an hour waiting for it to be fueled shouldn i that have been done be we got on _questionmark_  
13972,ok ticket agent roger mclaren so _questionmark_ less than helpful with our into group travel problems can not find a supervisor for help 
13973,and how is this not a mechanical issue _questionmark_ all evidence points to the idea that it's the ils at all at fault not the weather 
13974,that is an awesome library 
13975,can not seem to find the pilots for our up flight never seen anything like it before 
13976,except now there is no wait time the phone system just hangs up on you so continuing to hold won i help 
13977,what i with the layover in canada from the  _questionmark_ is that scheduled _questionmark_  
13978,after flying delta this week gogo was so good the tweet i sent you did not even send until we landed that is how bad it was 
13979,thank you so much its been a very stressful day 
13980,is the airline of the oscars but doesn i carry abc on direct to _questionmark_ _exclamation_ _questionmark_ _exclamation_ fail now i can not watch the oscars 
13981,and this is why i love flying southwest excellent service and you don i take yourselves too seriously _exclamation_  
13982,this inflight wifi is the absolute worst i i be willing to have paid double for dial speeds 
13983,worst experience with you cancelled lighted flight no voucher and no luggage because ramp was broken no other ramps in charlotte _questionmark_  
13984,please improve business extra flight reservation process can not book online _questionmark_ what century are we in _questionmark_  min on hold 
13985,just do i same issue persisting 
13986,been on the phone for  minutes said it would be  any advice _questionmark_  
13987,thanks lindsey any idea when i will get there _questionmark_ _exclamation_ stuck in denver and told to listen to the intercom better 
13988,i was helped by a nice lady at pox checkin i spent  hours on hold in  hours so might want to look at efficiency there 
13989,out of curiosity when a flight is arranged are pilots notified _questionmark_ there are a lot of pilots haven i arrived yet announcements 
13990,: was on flight  bos cut on   awful experience exit row seat was so narrow that i could not move my legs _exclamation_ unacceptable 
13991,i understand but everyone said different things and there was a flight out late flight that night but only one of us got to take it 
13992,thanks 
13993,how about an update with real information _questionmark_ still waiting on tarmac in philadelphia 
13994,you guys have to be the worst we are flying into philadelphia and have only two jetway available for an on time plane 
13995,have a cup coffee and relax while you check out the new deals and promotions at avon twice a month at doug 
13996,how do i change flights  hours is crazy please help 
13997,is hosting an party in the terminal in atlanta 
13998,flight  from pal to london has been sitting on the tarmac for min i no further update from the pilot what gives _questionmark_  
13999,wow still screw i stuff up 
14000,after  hour plus delay from finally on flight to all very tired 
14001,i am here standing at baggage claim waiting for bags for over an hour at dew the gate is  feet from here _exclamation_  
14002,who do i call to use credit am prep cal tix that can not be rebooked online _questionmark_ rep i called quoted me ok higher than the website 
14003,sale please soon _questionmark_ i need a tan 
14004,dear american when did  hour hold times become the industry standard _questionmark_ have you heard of additional staffing during weather _questionmark_  
14005,beyond ready 
14006,i had to pay extra cos that flight was no longer available just because it wouldn i accept my us card for a  way into ny 
14007,so what's the deal _questionmark_ do u provide voucher for overnight or am i cozy on the floor at 
14008,is flight  from dew to ord currently on time _questionmark_ i see an advisory that dew may be affected by weather 
14009,flight cancelled lighted out of dna do i have to reschedule now or can travel funds be put back into my account for future use _questionmark_  
14010,thank you for a wonderful global first class flight on your  to fra great service cont 
14011,it was me who had the problem won flight ua  i called and rebooked myself found my own hotel and taxi 
14012,i normally ask people to put on headphones but not toddlers maybe planes should have a kid section near the back 
14013,creates institutional quality machine driven jetblue revenue predictive analytics and forecasts using public big data 
14014,how long will it take for miles that i re purchased they had expired to show up _questionmark_ i recieved an email that the request had been 
14015,it is not ideal but it is okay better late flight than never _exclamation_ : 
14016,the worst first class boarding service i ever had 
14017,is gettin fancy _exclamation_ nice work on the menu 
14018,please please please choose me to go see 
14019,if that was the case why did your alert arrive so late flight _questionmark_ four hour delay _questionmark_ don i buy it 
14020,call volumes are high so the best answer is to hang up on me _questionmark_  
14021,having trouble relight booking problems a cancelled lighted flight no one picking up phones and your site isn i working 
14022,is it possible to cancelled flight my reservation online _questionmark_  
14023,mechanical failure isn i boston fault 
14024,so technically i could drive to jak now and put in request for tomorrow i flight _questionmark_  
14025,yeah i have _exclamation_ i am on it _exclamation_ _exclamation_ looking for specific dates i will just keep checking daily for a fare drop 
14026,how are you going to compensate all of whose days plans have been ruined because of the  delay pending cancelled flightlation _questionmark_  
14027,what i the point of email stating i did not get bumped to est class _questionmark_ i know i am not in first class i booked the regular ticket 
14028,will do : 
14029,reservation line won i let me speak to a representative because they are too busy they literally disconnect you why bother _questionmark_  
14030,cancelled lighted flight due to weather no problem but wait for luggage for  hours _questionmark_ it must be delivered _exclamation_ _exclamation_  
14031,so you jacked out my cousins trip to portland and then cancelled lighted her return trip _questionmark_ _exclamation_ no more united 
14032,good job at cle tpa on schedule  to  inches of snow 
14033,it appears there are six flights to calgary tomorrow is this correct _questionmark_  
14034,why the hell did you overbook a plane when you knew people actually had seat assignments poorplanning 
14035,link to current status of flights airports _questionmark_ fly wi ear mo this morning yet can not yet tell what any problems are except see snow 
14036,thanks a ton _exclamation_  
14037,airways corporation blu loses   on news that airways wallstreet scope 
14038,thanks :weary_face: ink if it still late flight but i hope i get it tonight :loudly_crying_face: 
14039,i i like to explore both options and what the cost might be to change the date and destination 
14040,this is so smart it makes me angry it we've partnered with to bring you free digital access onboard _exclamation_  
14041,felt  crew to is the weather delay but pilots just invited the kids to see the cockpit _exclamation_  
14042,but why it our fleet is on fleek 
14043,couldn i use the confirmed up cert you gave me i i you decided to sell anyone a biz seat for  why do you bother giving them _questionmark_  
14044,i am amazed at the lack of communication with the passengers 
14045,i appreciate the reply it were so sorry to keep you waiting laura an agent will be with you shortly cab 
14046,my wife has now been on hold for  minutes i get weather is bad but this is insane 
14047,any progress _questionmark_ good luck patrick _exclamation_  
14048,hi up with the help of an awesome tsa representative i was able to get it all taken care of thank you _exclamation_  
14049,i bet you don i but i am the paying customer here i know how to check for flight delays thank you 
14050,could you check if there is svu space on  map jak feb with _questionmark_ thanks 
14051,can you not _questionmark_ it our fleet is on fleek 
14052,very upset with my hometown airline stuck in den felt cancelled lighted others here with me got new felt info 
14053,umm so no reason as to why this is _questionmark_ is there someone different i should contact or contact me to get a definitive answer _questionmark_  
14054,please refund my ticket what a terrible experience 
14055,they weren i able to without relight booking problems and recharging the amount plus  fee for help over phone spoke to  agents amp jeanine 
14056,not a great experience for my first time flying us airways going forward i will probably be taking my business elsewhere 
14057,i will when i land 
14058,punta cana to enjoy weather i see my wifes family 
14059,weather where _questionmark_ and at what time cancelled lighted _questionmark_ no i can not because meeting was today 
14060,please let those with nothing in overhead bins to exit first fly a lot and only bring purse tired of running for connection 
14061,sitting on the tarmac waiting to deplane  minutes the level of service i have come to expect 
14062,not providing pilots for your flights: is this a new feature of your merger _questionmark_  
14063,you have cancelled lighted my flights because of my last name do the right thing and reinstate my tickets 
14064,thne for the response bot it seems this improvement could be easily attained is your est class service really only worth  _questionmark_  
14065,working for me tight ex so they re delaying our flight twice in  secs 
14066,well thankfully they have got a nice food court here when will an update be posted _questionmark_  
14067,how is it that i book a flight with a reserved seat and then go to check in and find out i have no seat _questionmark_ wif 
14068,to the rescue sundown in chicago next stop san antonio _exclamation_  
14069,not fast enough no excuse for service between big hubs to have such outdated craft southwest has wifi this is awful 
14070,i am flight booking problems a flight to vegas any good promo codes _questionmark_  
14071,will you ever have a nonstop from to we all take or too _exclamation_ pleaseeeeee thank you _exclamation_  
14072,please do details we i like to help if you need assistance up 
14073,gerne : 
14074,aa1224:  mins for priority bags to arrive now late flight for evening plans _exclamation_ delta  min bag guarantee anyone _questionmark_ : 
14075,unveils  new including  from 
14076,if you could have ran your express psa worth a damn i wouldn i be stuck in horrible cut now 
14077,absolutely _exclamation_ _exclamation_ the staff was amazing _exclamation_ _exclamation_  
14078,those were snacks we left on purpose for your team : for being so helpful this morning at the desk and on the phone _exclamation_  
14079,your a list program is a complete joke _exclamation_ your company does not value loyal customers time to look for another go to airliner 
14080,will not have to honor absurdly low mistake fares via 
14081,best way to kill nine hours at the airport when all flights are full and the airline won i put you standby _questionmark_  
14082,another squashed flight having to share my seat with another passenger is notmy idea of quality travel 
14083,flying with you in about  weeks bringing blankets be it is freezing _exclamation_ :winking_face_with_tongue: 
14084,can i get some more leg room tonight be  
14085,thank you 
14086,bad idea to let  people back on the terminal with food vouchers but allow only  minutes to get anything long lines _exclamation_ _exclamation_  
14087,will be stuck in pox overnight service is getting worse flying southwest from now on 
14088,kewl will also let them know the overhead bin over my row was ino i love a good abbreve 
14089,how do i get reimbursed for hotel and taxis for the cancelled flirtation _questionmark_  
14090,thanks 
14091,northern california coast 
14092,thank you 
14093,well its 11:45am and just got an email that my am flight is delayed thats not right 
14094,we need help changing a name on a company reservation we tried calling customer relations but there is a busy signal 
14095,actually online indicates the only seating available is at a premium cost why not allow seat selection at time of purchase 
14096,will definitely do so sending a do now 
14097,should offer can border towns incentive to fly since exchange rates are 
14098,i am getting calls from     but the calls seem to drop instantly is there any alternate avenue for reached support _questionmark_  
14099,thanks guys _exclamation_ got hold of someone really awesome service i appreciate it : 
14100,i am cancelled fighting my card and i will never do business with you again you clearly don i care about your customers 
14101,yep filed a claim at heathrow yesterday we were promised a call this morning with an update but got nothing 
14102,i booked a flight on my phone and then never got a confirmation email how would i go about getting that _questionmark_  
14103,check out new music 
14104,amazing customer service again _exclamation_ :two_hearts: :two_hearts: paean in of she is the best _exclamation_  
14105,get me outta here 
14106,how about auto check in for up holders _questionmark_ come on 
14107,you need to change the way customer service is handled _exclamation_ i have been waiting for a supervisor to contact me for  days what gives _questionmark_  
14108,how does an airline misplace an airline attendant _questionmark_ _exclamation_ _exclamation_ been at reagan airport since 1pm10:15 to cinch is delayed trying to find her 
14109,flight  dna to cut stuck waiting on cut atc cmon missing felt  cut to mba hope you can rebook me _exclamation_  _questionmark_  
14110,the worst _exclamation_ hold time crazy agents horrible no accountability _exclamation_  
14111,really _questionmark_ that is it _questionmark_ not even a we are looking into this to see what happened what we could do better next time 
14112,the exhaustion of traveling i runnin thru the airport and tryin rent a car i not killin myself my family or anybody on the road 
14113,no i was told i got put on another flight and that i would get an email still haven i gotten one yet 
14114,it was  but we helped you with the weight issue took your vouchers and hopped on a flight instead 
14115,i sure hope you all can fix good luck their service sucks 
14116,your staff members are looking at me like i have two heads check your own websites _exclamation_ _exclamation_ _exclamation_  
14117,conference begins in  hours up all night due to delays and still waiting to talk to someone about lost luggage 
14118,i am but it says yall are sold out me amp my coworkers would need to get out first available 
14119,disappointed united did not feed small children on a  amp half hour flight honolulu to los angeles appalling esp food waylaid for 
14120,the premier desk was able to rebook me with our friends at only problem is now i have to pay for a checked bag : 
14121,plus help me get this resolved amp reimbursement made gracias rico plus send me private mug with phone number or email address 
14122,okayyyy but i had huge irons on way out promise no shenanigans _questionmark_  
14123,has the worst corporate account manager brent i will now take my plus flights to thank you 
14124,its now  days since i contacted customer relations 
14125, flights yesterday no treats but nuts and pretzels also no origami in the magazine new policies _questionmark_  
14126,can i put sun in my carry on _questionmark_ it right now  would be a heat wave so enjoy the warmth _exclamation_ can you bring some home _questionmark_ job 
14127,thank you _exclamation_ _exclamation_ _exclamation_ _exclamation_ i will be there to pick her up on time 
14128,in ethiopia adopting a child need flight home from add to err late flight   or very early   need to change existing reservation 
14129,almost  hours on hold  hours of my life i can not get back thanks 
14130,your policy needs a serious revision for babies fortunately i have choices and choose from here on out 
14131,my husband is supposed to fly du to iad then iad to fra leaving in  hours you cancelled lighted his flight and there is a ihr wait on phone 
14132,thanks for a speedy flight time recovery 
14133,how do i reschedule my cancelled lighted flights online _questionmark_ the change button is greed out _exclamation_  
